name,kind,cleanliness,dev_macro_f1,dev_fit_macro_f1,final_macro_f1,accuracy_dev,accuracy_final,best_dev_macro_f1,best_epoch,task,model_name,group_mode,input_format,notes,trust_for_selection
adversarial_validation,analysis,internal_dev_only,,,,,,,,,,,,,unknown
blend_existing_predictions_advweighted_diag,blend,diagnostic,0.7271829554194582,,0.5859971835944376,0.7420289855072464,0.6623376623376623,,,,,,,blend_weights=noboundary,diagnostic_blend
blend_existing_predictions_diag,blend,diagnostic,0.7279402432143399,,0.5956963928566363,0.7420289855072464,0.672077922077922,,,,,,,blend_weights=noboundary,diagnostic_blend
blend_existing_predictions_prob_diag,blend,diagnostic,0.7279402432143399,,0.5956963928566363,0.7420289855072464,0.672077922077922,,,,,,,blend_weights=noboundary,diagnostic_blend
boundary_deberta_seed13,model,internal_dev_only,0.8239571373899732,,,0.9041666666666667,,0.8239571373899732,10.0,boundary,microsoft/deberta-v3-base,,pair,,clean_internal_dev
boundary_deberta_seed13_fulltrain_e10,model,internal_dev_only,0.9236890328086954,,,0.9604166666666667,,0.9236890328086954,10.0,boundary,microsoft/deberta-v3-base,,pair,,inflated_train_on_full
clear_boundary_deberta_seed13,model,internal_dev_only,0.691908086152428,,,0.7304347826086957,,0.7025137964616133,6.0,clear_boundary,microsoft/deberta-v3-base,,pair,,clean_internal_dev
conditional_bias_bestdiag_input,decision_layer,diagnostic,,0.7055926529610739,0.6168256555350939,,0.685064935064935,,,,,,,,diagnostic_post_final
conditional_bias_frozen_input,decision_layer,diagnostic,,0.701536754353891,0.6035274349260663,,0.6785714285714286,,,,,,,,diagnostic_post_final
dataset_error_analysis_best_diag,analysis,diagnostic,,,,,,,,,,,,,diagnostic_post_final
deberta_base_seed13,model,internal_dev_only,0.6338946033932799,,,0.6623188405797101,,0.6448928038840296,5.0,multiclass,microsoft/deberta-v3-base,,pair,,clean_internal_dev
deberta_base_seed13_best_eval,model,internal_dev_only,0.6594976125001901,,,0.7,,,,,,,,,unknown
